File Name: not saved
Channel 2: 'EMG 2', 13470 values, raw ADC, no filters, extrapolated from 1000 to 5000 samples per second.
Channel 3: 'EMG 3', 13470 values, raw ADC, no filters, extrapolated from 1000 to 5000 samples per second.
Channel 4: 'EMG 4', 67350 values, raw ADC, no filters.
Digitals combined (event=16, d=8, c=4, b=2, a=1): 13470 values, , extrapolated from 1000 to 5000 samples per second.

-583	47	201	31
-565	47	100	31
-548	48	31	31
-530	49	-46	31
-512	49	-129	31
-495	50	-209	31
-477	50	-291	31
-459	51	-339	31
-444	51	-399	31
-429	51	-442	31
-415	52	-473	31
-400	52	-494	31
-385	52	-499	31
-375	52	-492	31
-364	52	-470	31
-354	52	-429	31
-343	52	-365	31
-333	51	-318	31
-328	52	-236	31
-324	53	-144	31
-319	53	-49	31
-315	54	82	31
-310	55	172	31
-311	55	282	31
-313	55	389	31
-316	56	496	31
-318	56	613	31
-321	56	682	31
-328	57	761	31
-336	57	838	31
-343	58	889	31
-351	58	944	31
-360	59	964	31
-373	59	978	31
-387	59	972	31
-400	60	954	31
-414	60	909	31
-429	60	869	31
-445	60	801	31
-462	60	719	31
-480	61	632	31
-497	61	507	31
-515	61	418	31
-532	61	305	31
-550	61	192	31
-569	60	69	31
-587	60	-59	31
-606	58	-142	31
-622	58	-250	31
-639	57	-344	31
-657	56	-424	31
-674	55	-510	31
-692	53	-560	31
-704	53	-604	31
-716	52	-636	31
-729	50	-658	31
-741	49	-658	31
-755	47	-644	31
-761	47	-612	31
-769	46	-568	31
-776	44	-513	31
-784	43	-428	31
-792	41	-361	31
-792	41	-275	31
-791	41	-185	31
-791	41	-87	31
-790	40	20	31
-790	39	91	31
-783	39	181	31
-776	39	260	31
-769	39	326	31
-762	39	398	31
-755	39	438	31
-742	39	475	31
-729	39	495	31
-716	39	507	31
-703	39	496	31
-690	39	483	31
-673	40	448	31
-656	41	402	31
-639	41	344	31
-622	42	253	31
-605	43	184	31
-587	43	94	31
-569	43	5	31
-552	44	-96	31
-534	44	-201	31
-516	44	-274	31
-499	45	-359	31
-482	45	-434	31
-466	46	-494	31
-449	46	-560	31
-432	47	-596	31
-419	47	-625	31
-405	48	-638	31
-392	48	-641	31
-378	49	-621	31
-365	49	-593	31
-357	50	-546	31
-348	51	-483	31
-340	53	-411	31
-331	54	-302	31
-323	55	-221	31
-320	55	-112	31
-318	56	-3	31
-315	56	125	31
-313	57	267	31
-310	57	366	31
-313	57	485	31
-316	58	599	31
-320	58	695	31
-323	59	804	31
-328	59	866	31
-338	59	931	31
-348	59	979	31
-359	60	1011	31
-369	60	1035	31
-381	60	1037	31
-395	60	1019	31
-410	60	995	31
-424	60	946	31
-439	60	870	31
-455	59	805	31
-472	59	715	31
-490	59	618	31
-508	60	503	31
-526	60	362	31
-545	60	263	31
-563	60	141	31
-581	59	16	31
-600	59	-99	31
-618	58	-232	31
-638	56	-315	31
-653	56	-413	31
-669	56	-494	31
-684	56	-572	31
-700	56	-641	31
-717	55	-681	31
-727	55	-715	31
-739	54	-732	31
-750	52	-733	31
-762	51	-716	31
-774	49	-685	31
-777	49	-645	31
-781	48	-589	31
-785	48	-518	31
-789	47	-424	31
-794	45	-352	31
-791	45	-262	31
-788	45	-165	31
-786	45	-73	31
-783	44	33	31
-780	43	98	31
-771	43	177	31
-762	43	239	31
-754	43	299	31
-745	43	353	31
-736	42	383	31
-722	42	403	31
-708	42	412	31
-693	43	405	31
-679	43	376	31
-665	43	348	31
-648	43	297	31
-631	43	237	31
-614	43	165	31
-597	43	67	31
-580	43	-8	31
-562	44	-99	31
-544	45	-195	31
-526	45	-284	31
-508	46	-385	31
-490	47	-443	31
-474	47	-515	31
-459	47	-572	31
-443	48	-620	31
-428	48	-660	31
-412	48	-677	31
-400	49	-685	31
-388	49	-678	31
-375	50	-658	31
-363	50	-609	31
-351	51	-564	31
-344	52	-494	31
-337	53	-415	31
-331	53	-324	31
-324	54	-201	31
-317	55	-104	31
-317	55	11	31
-316	56	141	31
-316	56	267	31
-315	57	412	31
-315	57	503	31
-319	58	616	31
-325	59	712	31
-330	59	796	31
-336	60	881	31
-342	61	935	31
-353	61	977	31
-366	61	1009	31
-378	61	1019	31
-391	61	1011	31
-404	61	996	31
-419	61	954	31
-435	61	906	31
-452	61	838	31
-468	61	737	31
-485	61	654	31
-503	61	554	31
-521	61	431	31
-540	61	304	31
-558	60	152	31
-578	59	51	31
-595	59	-80	31
-612	58	-198	31
-630	57	-311	31
-647	56	-443	31
-666	54	-529	31
-680	54	-612	31
-694	53	-702	31
-709	51	-771	31
-723	50	-831	31
-739	48	-863	31
-747	48	-880	31
-756	47	-896	31
-765	46	-880	31
-774	45	-857	31
-784	43	-815	31
-785	43	-766	31
-787	43	-701	31
-789	43	-619	31
-791	42	-515	31
-794	41	-442	31
-789	41	-345	31
-785	41	-252	31
-780	41	-161	31
-776	41	-52	31
-771	40	19	31
-760	41	93	31
-749	41	164	31
